Sport,2R,M,U_max,U_inf,Re,CD,R_Omega,FD_Mg,FL_Mg
Badminton,6.0,5.00,137,6.7,3e4,0.64,0.019,420,0.1
Soccer,21,450,51.0,30,5e5,0.24,9.1,2.9,2.3
